,,,HOW TO USE THIS FILE
,,,Above the below table are indicated the sample sizes of the null hypotheses used to generate it
,,,as well as the number of independent simulations of the null hypothesis used.
,,,"To find the p-value corresponding to your MIC score, look for the largest number less than your"
,,,score in the left-hand column. The p-value of your score is at most the number in the middle
,,,column of that row + the uncertainty listed in the right column of the same row.

,,,**Note that these p-values are uncorrected. This means that you must correct the p-value you
,,,obtain here to account for the number of tests you performed. We suggest doing this by
,,,controlling the false discovery rate.

n = 120, numTrials = 30000000
MIC >= x,gives p <= y,+/- (with 95% confidence)
0.393670,0.000099625,0.000003572
0.393610,0.000099882,0.000003576
0.393570,0.000100138,0.000003581
0.393540,0.000100394,0.000003585
0.393520,0.000100650,0.000003590
0.393490,0.000100906,0.000003594
0.393470,0.000101162,0.000003599
0.393440,0.000101418,0.000003604
0.393400,0.000101674,0.000003608
0.393370,0.000101930,0.000003613
0.393320,0.000102187,0.000003617
0.393290,0.000102443,0.000003622
0.393260,0.000102699,0.000003626
0.393240,0.000102955,0.000003631
0.393220,0.000103211,0.000003635
0.393210,0.000103467,0.000003640
0.393170,0.000103723,0.000003644
0.393150,0.000103979,0.000003649
0.393100,0.000104235,0.000003653
0.393060,0.000104492,0.000003658
0.393030,0.000104748,0.000003662
0.392970,0.000105004,0.000003667
0.392920,0.000105260,0.000003671
0.392870,0.000105516,0.000003676
0.392810,0.000105772,0.000003680
0.392790,0.000106028,0.000003685
0.392730,0.000106284,0.000003689
0.392690,0.000106540,0.000003693
0.392670,0.000106796,0.000003698
0.392640,0.000107053,0.000003702
0.392590,0.000107309,0.000003707
0.392550,0.000107565,0.000003711
0.392530,0.000107821,0.000003716
0.392470,0.000108077,0.000003720
0.392430,0.000108333,0.000003724
0.392420,0.000108589,0.000003729
0.392400,0.000108845,0.000003733
0.392350,0.000109101,0.000003738
0.392300,0.000109358,0.000003742
0.392250,0.000109614,0.000003746
0.392220,0.000109870,0.000003751
0.392180,0.000110126,0.000003755
0.392140,0.000110382,0.000003759
0.392110,0.000110638,0.000003764
0.392090,0.000110894,0.000003768
0.392060,0.000111150,0.000003772
0.392040,0.000111406,0.000003777
0.391990,0.000111662,0.000003781
0.391950,0.000111919,0.000003785
0.391920,0.000112175,0.000003790
0.391890,0.000112431,0.000003794
0.391840,0.000112687,0.000003798
0.391810,0.000112943,0.000003803
0.391770,0.000113199,0.000003807
0.391720,0.000113455,0.000003811
0.391670,0.000113711,0.000003816
0.391650,0.000113967,0.000003820
0.391620,0.000114224,0.000003824
0.391570,0.000114480,0.000003829
0.391520,0.000114736,0.000003833
0.391500,0.000114992,0.000003837
0.391470,0.000115248,0.000003841
0.391450,0.000115504,0.000003846
0.391420,0.000115760,0.000003850
0.391370,0.000116016,0.000003854
0.391330,0.000116272,0.000003858
0.391310,0.000116529,0.000003863
0.391280,0.000116785,0.000003867
0.391250,0.000117041,0.000003871
0.391220,0.000117297,0.000003875
0.391180,0.000117553,0.000003880
0.391120,0.000117809,0.000003884
0.391080,0.000118065,0.000003888
0.391050,0.000118321,0.000003892
0.391000,0.000118577,0.000003896
0.390950,0.000118833,0.000003901
0.390920,0.000119090,0.000003905
0.390890,0.000119346,0.000003909
0.390860,0.000119602,0.000003913
0.390800,0.000119858,0.000003917
0.390760,0.000120114,0.000003922
0.390690,0.000120370,0.000003926
0.390680,0.000120626,0.000003930
0.390650,0.000120882,0.000003934
0.390630,0.000121138,0.000003938
0.390580,0.000121395,0.000003942
0.390570,0.000121651,0.000003947
0.390520,0.000121907,0.000003951
0.390480,0.000122163,0.000003955
0.390440,0.000122419,0.000003959
0.390410,0.000122675,0.000003963
0.390370,0.000122931,0.000003967
0.390330,0.000123187,0.000003971
0.390280,0.000123443,0.000003976
0.390260,0.000123700,0.000003980
0.390220,0.000123956,0.000003984
0.390210,0.000124212,0.000003988
0.390160,0.000124468,0.000003992
0.390150,0.000124724,0.000003996
0.390130,0.000124980,0.000004000
0.390100,0.000125236,0.000004004
0.390080,0.000125492,0.000004008
0.390050,0.000125748,0.000004013
0.390030,0.000126004,0.000004017
0.390000,0.000126261,0.000004021
0.389980,0.000126517,0.000004025
0.389950,0.000126773,0.000004029
0.389930,0.000127029,0.000004033
0.389910,0.000127285,0.000004037
0.389890,0.000127541,0.000004041
0.389860,0.000127797,0.000004045
0.389840,0.000128053,0.000004049
0.389800,0.000128309,0.000004053
0.389780,0.000128566,0.000004057
0.389740,0.000128822,0.000004061
0.389710,0.000129078,0.000004065
0.389680,0.000129334,0.000004069
0.389650,0.000129590,0.000004073
0.389630,0.000129846,0.000004077
0.389590,0.000130102,0.000004081
0.389560,0.000130358,0.000004085
0.389540,0.000130614,0.000004089
0.389520,0.000130870,0.000004093
0.389510,0.000131127,0.000004097
0.389480,0.000131383,0.000004101
0.389440,0.000131639,0.000004105
0.389390,0.000131895,0.000004109
0.389370,0.000132151,0.000004113
0.389330,0.000132407,0.000004117
0.389290,0.000132663,0.000004121
0.389270,0.000132919,0.000004125
0.389230,0.000133175,0.000004129
0.389190,0.000133432,0.000004133
0.389160,0.000133688,0.000004137
0.389130,0.000133944,0.000004141
0.389110,0.000134200,0.000004145
0.389060,0.000134456,0.000004149
0.389030,0.000134712,0.000004153
0.389010,0.000134968,0.000004157
0.389000,0.000135224,0.000004161
0.388970,0.000135480,0.000004165
0.388930,0.000135737,0.000004169
0.388910,0.000135993,0.000004173
0.388890,0.000136249,0.000004177
0.388860,0.000136505,0.000004181
0.388830,0.000136761,0.000004185
0.388780,0.000137017,0.000004188
0.388760,0.000137273,0.000004192
0.388730,0.000137529,0.000004196
0.388700,0.000137785,0.000004200
0.388670,0.000138041,0.000004204
0.388660,0.000138298,0.000004208
0.388630,0.000138554,0.000004212
0.388590,0.000138810,0.000004216
0.388560,0.000139066,0.000004220
0.388540,0.000139322,0.000004224
0.388490,0.000139578,0.000004227
0.388470,0.000139834,0.000004231
0.388440,0.000140090,0.000004235
0.388410,0.000140346,0.000004239
0.388380,0.000140603,0.000004243
0.388360,0.000140859,0.000004247
0.388320,0.000141115,0.000004251
0.388300,0.000141371,0.000004254
0.388270,0.000141627,0.000004258
0.388220,0.000141883,0.000004262
0.388200,0.000142139,0.000004266
0.388160,0.000142395,0.000004270
0.388130,0.000142651,0.000004274
0.388090,0.000142908,0.000004278
0.388070,0.000143164,0.000004281
0.388030,0.000143420,0.000004285
0.388010,0.000143676,0.000004289
0.387990,0.000143932,0.000004293
0.387960,0.000144188,0.000004297
0.387930,0.000144444,0.000004300
0.387910,0.000144700,0.000004304
0.387880,0.000144956,0.000004308
0.387850,0.000145212,0.000004312
0.387820,0.000145469,0.000004316
0.387790,0.000145725,0.000004319
0.387760,0.000145981,0.000004323
0.387740,0.000146237,0.000004327
0.387720,0.000146493,0.000004331
0.387660,0.000146749,0.000004335
0.387630,0.000147005,0.000004338
0.387600,0.000147261,0.000004342
0.387570,0.000147517,0.000004346
0.387550,0.000147774,0.000004350
0.387530,0.000148030,0.000004353
0.387510,0.000148286,0.000004357
0.387480,0.000148542,0.000004361
0.387450,0.000148798,0.000004365
0.387440,0.000149054,0.000004369
0.387400,0.000149310,0.000004372
0.387370,0.000149566,0.000004376
0.387340,0.000149822,0.000004380
0.387310,0.000150078,0.000004384
0.387280,0.000150335,0.000004387
0.387260,0.000150591,0.000004391
0.387240,0.000150847,0.000004395
