,,,HOW TO USE THIS FILE
,,,Above the below table are indicated the sample sizes of the null hypotheses used to generate it
,,,as well as the number of independent simulations of the null hypothesis used.
,,,"To find the p-value corresponding to your MIC score, look for the largest number less than your"
,,,score in the left-hand column. The p-value of your score is at most the number in the middle
,,,column of that row + the uncertainty listed in the right column of the same row.

,,,**Note that these p-values are uncorrected. This means that you must correct the p-value you
,,,obtain here to account for the number of tests you performed. We suggest doing this by
,,,controlling the false discovery rate.

n = 80, numTrials = 30000000
MIC >= x,gives p <= y,+/- (with 95% confidence)
0.560720,0.000000256,0.000000181
0.554330,0.000000512,0.000000256
0.550240,0.000000768,0.000000314
0.547480,0.000001024,0.000000362
0.544000,0.000001281,0.000000405
0.541770,0.000001537,0.000000444
0.539850,0.000001793,0.000000479
0.537180,0.000002049,0.000000512
0.535440,0.000002305,0.000000543
0.534130,0.000002561,0.000000573
0.532400,0.000002817,0.000000601
0.529550,0.000003073,0.000000627
0.527380,0.000003329,0.000000653
0.525870,0.000003585,0.000000678
0.524440,0.000003842,0.000000701
0.523260,0.000004098,0.000000724
0.521830,0.000004354,0.000000747
0.520970,0.000004610,0.000000768
0.520500,0.000004866,0.000000789
0.519820,0.000005122,0.000000810
0.518800,0.000005378,0.000000830
0.518290,0.000005634,0.000000849
0.517510,0.000005890,0.000000868
0.516930,0.000006147,0.000000887
0.516190,0.000006403,0.000000905
0.515660,0.000006659,0.000000923
0.514920,0.000006915,0.000000941
0.514400,0.000007171,0.000000958
0.513880,0.000007427,0.000000975
0.512730,0.000007683,0.000000992
0.512010,0.000007939,0.000001008
0.511750,0.000008195,0.000001024
0.511070,0.000008452,0.000001040
0.510160,0.000008708,0.000001056
0.509750,0.000008964,0.000001071
0.508620,0.000009220,0.000001087
0.507600,0.000009476,0.000001102
0.507050,0.000009732,0.000001116
0.506460,0.000009988,0.000001131
0.506200,0.000010244,0.000001145
0.505450,0.000010500,0.000001160
0.505000,0.000010756,0.000001174
0.504440,0.000011013,0.000001188
0.504040,0.000011269,0.000001201
0.503720,0.000011525,0.000001215
0.503370,0.000011781,0.000001228
0.502910,0.000012037,0.000001242
0.502470,0.000012293,0.000001255
0.502050,0.000012549,0.000001268
0.501640,0.000012805,0.000001281
0.501370,0.000013061,0.000001293
0.501030,0.000013318,0.000001306
0.500690,0.000013574,0.000001318
0.500200,0.000013830,0.000001331
0.499900,0.000014086,0.000001343
0.499360,0.000014342,0.000001355
0.499130,0.000014598,0.000001367
0.498910,0.000014854,0.000001379
0.498590,0.000015110,0.000001391
0.498470,0.000015366,0.000001403
0.498320,0.000015623,0.000001414
0.497970,0.000015879,0.000001426
0.497570,0.000016135,0.000001437
0.497360,0.000016391,0.000001449
0.497170,0.000016647,0.000001460
0.496810,0.000016903,0.000001471
0.496470,0.000017159,0.000001482
0.496140,0.000017415,0.000001493
0.495710,0.000017671,0.000001504
0.495530,0.000017927,0.000001515
0.495190,0.000018184,0.000001526
0.494880,0.000018440,0.000001537
0.494600,0.000018696,0.000001547
0.494400,0.000018952,0.000001558
0.494160,0.000019208,0.000001568
0.493950,0.000019464,0.000001579
0.493600,0.000019720,0.000001589
0.493350,0.000019976,0.000001599
0.493230,0.000020232,0.000001610
0.493010,0.000020489,0.000001620
0.492600,0.000020745,0.000001630
0.492390,0.000021001,0.000001640
0.492120,0.000021257,0.000001650
0.491700,0.000021513,0.000001660
0.491530,0.000021769,0.000001670
0.491340,0.000022025,0.000001679
0.491070,0.000022281,0.000001689
0.490870,0.000022537,0.000001699
0.490760,0.000022793,0.000001708
0.490600,0.000023050,0.000001718
0.490440,0.000023306,0.000001728
0.490310,0.000023562,0.000001737
0.490010,0.000023818,0.000001746
0.489800,0.000024074,0.000001756
0.489590,0.000024330,0.000001765
0.489480,0.000024586,0.000001774
0.489120,0.000024842,0.000001784
0.488860,0.000025098,0.000001793
0.488700,0.000025355,0.000001802
0.488590,0.000025611,0.000001811
0.488410,0.000025867,0.000001820
0.488240,0.000026123,0.000001829
0.488100,0.000026379,0.000001838
0.487920,0.000026635,0.000001847
0.487740,0.000026891,0.000001856
0.487550,0.000027147,0.000001864
0.487240,0.000027403,0.000001873
0.487090,0.000027660,0.000001882
0.486960,0.000027916,0.000001891
0.486770,0.000028172,0.000001899
0.486630,0.000028428,0.000001908
0.486490,0.000028684,0.000001916
0.486160,0.000028940,0.000001925
0.485970,0.000029196,0.000001934
0.485830,0.000029452,0.000001942
0.485650,0.000029708,0.000001950
0.485520,0.000029964,0.000001959
0.485350,0.000030221,0.000001967
0.485170,0.000030477,0.000001975
0.485010,0.000030733,0.000001984
0.484830,0.000030989,0.000001992
0.484570,0.000031245,0.000002000
0.484440,0.000031501,0.000002008
0.484260,0.000031757,0.000002017
0.484140,0.000032013,0.000002025
0.483990,0.000032269,0.000002033
0.483870,0.000032526,0.000002041
0.483770,0.000032782,0.000002049
0.483550,0.000033038,0.000002057
0.483470,0.000033294,0.000002065
0.483380,0.000033550,0.000002073
0.483250,0.000033806,0.000002081
